Number of Players,FTA,FGA,FT%
1,1.7,8.7,0.6
2,1.6,3,0.545
3,4.2,9.7,0.763
4,1,2,1
5,0.9,6.8,0.636
6,2.2,5.5,0.769
7,1.5,4.3,0.611
8,11.2,23.8,0.679
9,0.4,0.4,0.333
10,2.7,13.7,0.75
11,2.5,12.6,0.636
12,2.9,13.3,0.857
13,1.5,0.5,0.5
14,4,10.5,0.813
15,1.2,13.2,0.667
16,0.3,0.7,0
17,1,7.3,0.833
18,0.7,3.1,0.833
19,3.7,8.2,0.682
20,0,2.7,0
21,0.7,1.9,0.5
22,0.5,2.3,0.571
23,2.5,12.3,0.8
24,4,13.5,0.792
25,2,0,1
26,5.3,17.5,0.887
27,1.7,7,0.9
28,0,2.5,0
29,2.3,10.6,0.933
30,0,1,0
31,2.3,15.6,0.64
32,2.5,9.3,0.8
33,5.5,17.5,0.763
34,0.8,1.1,0.714
35,0,5.7,0
36,5,17.3,0.8
37,1,8.4,0.889
38,0.6,2.2,1
39,0,2,0
40,7.8,19.3,0.841
41,0,0.5,0
42,0,1.5,0
43,0,3,0
44,0.2,1.7,1
45,0,5.8,0
46,0.8,1,0.833
47,4.5,7.6,0.667
48,3,12.2,0.889
49,5.5,6,0.182
50,2,7.8,0.5
51,2.5,9.5,0.8
52,0.4,7.3,1
53,3,5.8,0.733
54,0.2,2.4,0.5
55,2,8.1,0.731
56,0.7,3.3,0.5
57,0.8,9.8,0.667
58,5.9,20,0.829
59,0.9,3.2,0.833
60,6,19,0.867
61,0.5,1,1
62,3.7,10.7,0.821
63,9,23.5,0.77
64,0.2,5.2,1
65,0.5,8,1
66,1.3,2.8,0.6
67,9.5,20.8,0.895
68,5.7,18.3,0.824
69,0,0,0
70,8.9,16.1,0.82
71,1.3,8.7,0.708
72,0,0.4,0
73,0,1.2,0
74,1,3,0.8
75,2.2,9,1
76,7.3,5.5,0.682
77,5.6,10.8,0.714
78,1.3,3,0.875
79,0.1,7.4,0
80,2.1,6.5,0.638
81,1.4,3.2,1
82,0.4,3.4,0.5
83,1,3.4,0.8
84,0.5,1.8,0.25
85,1,3.5,1
86,6.3,13.2,0.893
87,1.8,13.5,0.864
88,0.3,0.6,1
89,1.8,4.2,0.636
90,0,3,0
91,0,4,0
92,1.8,12.1,0.926
93,0,0.9,0
94,0.4,1,1
95,0.2,2.3,0
96,2.6,19.6,0.839
97,1.6,8.4,0.778
98,1.3,3.7,0.75
99,0.8,9.4,0.75
100,4,14,0.8
101,2.8,7.2,0.857
102,0.3,2.7,0.5
103,0.4,1.3,0.667
104,7.8,19.7,0.83
105,5.3,15.8,1
106,4.4,13,0.755
107,0,0.7,0
108,2.5,7.6,0.813
109,0,1.5,0
110,6.6,21.2,0.848
111,0.6,3.4,0.667
112,3.7,7.3,0.773
113,1.3,8.3,0.933
114,0,1.7,0
115,1.2,5.9,0.714
116,1,5.5,1
117,0.3,1.4,1
118,0.2,2.6,1
119,0,0.4,0
120,1.6,3.8,0.769
121,3.8,15.8,0.933
122,0.2,2.1,0.667
123,0.8,4,0.611
124,1.9,8.5,0.913
125,1.9,8.6,0.789
126,0,1,0
127,0.7,1.3,1
128,0.7,1.7,1
129,0.4,4.7,0.333
130,0.8,5.3,0.667
131,4.2,15.2,0.94
132,0,0.5,0
133,4.3,20.8,0.692
134,2,5.7,0.833
135,1.1,4.2,0.846
136,0.8,3.4,0.75
137,0.4,6.5,0.75
138,1.5,12,1
139,0,4,0
140,0,0,0
141,1.7,3.2,0.8
142,7,22.2,0.881
143,0,2.5,0
144,0.5,2.2,0.667
145,9.7,20.4,0.747
146,0.2,0.1,0.5
147,0,1,0
148,2.4,10.2,0.75
149,0.8,3.7,0.8
150,0.3,0.7,1
151,1.8,6.5,0.818
152,0.3,1.1,0.75
153,0.2,4,1
154,0,0.5,0
155,0,10,0
156,0.1,2,1
157,0.3,1.1,0
158,0.3,5.8,1
159,0,0,0
160,2,3.2,0.8
161,3.5,9.1,0.792
162,0.3,1.5,1
163,2.8,11.9,0.946
164,0.5,5.7,0.833
165,0,1.5,0
166,1.5,3.7,0.667
167,3.2,11.5,0.915
168,0.5,4.1,0.778
169,1.8,9.6,0.773
170,1.3,1.9,0.609
171,1.4,5.4,0.857
172,0.3,4.3,0.667
173,0.6,3,0.571
174,1.4,3.4,1
175,0.2,3.6,1
176,0.5,4.4,0.833
177,2.7,12,0.75
178,0.6,4,0.714
179,0,0,0
180,6,17.8,0.861
181,3,13.3,0.806
182,0,1.2,0
183,0.3,0.9,1
184,1,10.1,0.722
185,7.1,19.7,0.8
186,0,0,0
187,0.5,3.2,0.75
188,0,0,0
189,1.4,16.7,0.867
190,0,1,0
191,0.3,2.7,0.333
192,0.7,2.8,0.5
193,0.2,0.7,0.333
194,8.3,13.3,0.86
195,3.2,13.7,0.895
196,0.9,6.1,0.688
197,0,0.4,0
198,4.3,11.3,0.769
199,1.7,4.5,0.7
200,1.5,13.5,0.833
201,0,0.9,0
202,1.1,7.3,0.95
203,1,18.2,0.8
204,0,1.7,0
205,0,1.5,0
206,1,9,0.8
207,2.2,7.7,0.824
208,0.7,2,0.25
209,3,13.9,0.646
210,2.2,6.3,0.808
211,2.2,9.4,0.727
212,1.6,4.6,0.893
213,1.3,5.2,0.923
214,1.8,5.8,0.667
215,0.7,3,0.25
216,6.6,13.8,0.788
217,0.3,2,0.333
,,,