Number of Players,FTA,FGA
1,1.7,8.7
2,1.6,3
3,4.2,9.7
4,1,2
5,0.9,6.8
6,2.2,5.5
7,1.5,4.3
8,11.2,23.8
9,0.4,0.4
10,2.7,13.7
11,2.5,12.6
12,2.9,13.3
13,1.5,0.5
14,4,10.5
15,1.2,13.2
16,0.3,0.7
17,1,7.3
18,0.7,3.1
19,3.7,8.2
20,0,2.7
21,0.7,1.9
22,0.5,2.3
23,2.5,12.3
24,4,13.5
25,2,0
26,5.3,17.5
27,1.7,7
28,0,2.5
29,2.3,10.6
30,0,1
31,2.3,15.6
32,2.5,9.3
33,5.5,17.5
34,0.8,1.1
35,0,5.7
36,5,17.3
37,1,8.4
38,0.6,2.2
39,0,2
40,7.8,19.3
41,0,0.5
42,0,1.5
43,0,3
44,0.2,1.7
45,0,5.8
46,0.8,1
47,4.5,7.6
48,3,12.2
49,5.5,6
50,2,7.8
51,2.5,9.5
52,0.4,7.3
53,3,5.8
54,0.2,2.4
55,2,8.1
56,0.7,3.3
57,0.8,9.8
58,5.9,20
59,0.9,3.2
60,6,19
61,0.5,1
62,3.7,10.7
63,9,23.5
64,0.2,5.2
65,0.5,8
66,1.3,2.8
67,9.5,20.8
68,5.7,18.3
69,0,0
70,8.9,16.1
71,1.3,8.7
72,0,0.4
73,0,1.2
74,1,3
75,2.2,9
76,7.3,5.5
77,5.6,10.8
78,1.3,3
79,0.1,7.4
80,2.1,6.5
81,1.4,3.2
82,0.4,3.4
83,1,3.4
84,0.5,1.8
85,1,3.5
86,6.3,13.2
87,1.8,13.5
88,0.3,0.6
89,1.8,4.2
90,0,3
91,0,4
92,1.8,12.1
93,0,0.9
94,0.4,1
95,0.2,2.3
96,2.6,19.6
97,1.6,8.4
98,1.3,3.7
99,0.8,9.4
100,4,14
101,2.8,7.2
102,0.3,2.7
103,0.4,1.3
104,7.8,19.7
105,5.3,15.8
106,4.4,13
107,0,0.7
108,2.5,7.6
109,0,1.5
110,6.6,21.2
111,0.6,3.4
112,3.7,7.3
113,1.3,8.3
114,0,1.7
115,1.2,5.9
116,1,5.5
117,0.3,1.4
118,0.2,2.6
119,0,0.4
120,1.6,3.8
121,3.8,15.8
122,0.2,2.1
123,0.8,4
124,1.9,8.5
125,1.9,8.6
126,0,1
127,0.7,1.3
128,0.7,1.7
129,0.4,4.7
130,0.8,5.3
131,4.2,15.2
132,0,0.5
133,4.3,20.8
134,2,5.7
135,1.1,4.2
136,0.8,3.4
137,0.4,6.5
138,1.5,12
139,0,4
140,0,0
141,1.7,3.2
142,7,22.2
143,0,2.5
144,0.5,2.2
145,9.7,20.4
146,0.2,0.1
147,0,1
148,2.4,10.2
149,0.8,3.7
150,0.3,0.7
151,1.8,6.5
152,0.3,1.1
153,0.2,4
154,0,0.5
155,0,10
156,0.1,2
157,0.3,1.1
158,0.3,5.8
159,0,0
160,2,3.2
161,3.5,9.1
162,0.3,1.5
163,2.8,11.9
164,0.5,5.7
165,0,1.5
166,1.5,3.7
167,3.2,11.5
168,0.5,4.1
169,1.8,9.6
170,1.3,1.9
171,1.4,5.4
172,0.3,4.3
173,0.6,3
174,1.4,3.4
175,0.2,3.6
176,0.5,4.4
177,2.7,12
178,0.6,4
179,0,0
180,6,17.8
181,3,13.3
182,0,1.2
183,0.3,0.9
184,1,10.1
185,7.1,19.7
186,0,0
187,0.5,3.2
188,0,0
189,1.4,16.7
190,0,1
191,0.3,2.7
192,0.7,2.8
193,0.2,0.7
194,8.3,13.3
195,3.2,13.7
196,0.9,6.1
197,0,0.4
198,4.3,11.3
199,1.7,4.5
200,1.5,13.5
201,0,0.9
202,1.1,7.3
203,1,18.2
204,0,1.7
205,0,1.5
206,1,9
207,2.2,7.7
208,0.7,2
209,3,13.9
210,2.2,6.3
211,2.2,9.4
212,1.6,4.6
213,1.3,5.2
214,1.8,5.8
215,0.7,3
216,6.6,13.8
217,0.3,2